n,Left_Rectangle_Precision,Right_Rectangle_Precision,Mid_Rectangle_Precision,Trapezoidal_Precision,Simpson_Precision,Left_Rectangle_Time,Right_Rectangle_Time,Mid_Rectangle_Time,Trapezoidal_Time,Simpson_Time
10,1.09072,1.09077,1.39189,1.09074,3.86983,841,181,150,201,220
50,2.48842,2.48864,2.78956,2.48853,6.7312,1663,581,561,531,621
100,3.09037,3.09081,3.39162,3.09059,7.93748,21081,872,902,882,982
500,4.48742,4.48963,4.78955,4.48852,10.7341,104459,4088,4118,4077,4158
1000,5.08839,5.09279,5.39161,5.09058,11.9386,208417,8096,8235,8105,8186
5000,6.47766,6.49967,6.78955,6.48852,14.4494,101884,40256,40878,40387,40667
10000,7.06911,7.11317,7.39161,7.09058,20,204169,80683,81816,83710,81165
50000,8.39043,8.61543,8.78955,8.48852,13.9723,843958,410352,408068,403088,404390
100000,8.91253,9.39756,9.39165,9.09058,13.1539,807619,810284,828628,813590,820704
500000,9.93991,10.3035,10.7911,10.4873,12.8931,4068351,4061588,4114610,4064394,4070345
1000000,10.3084,10.48,11.3934,11.0956,13.3111,8123466,8106224,8211334,8125591,8158334
